Work Group,Location Name,Completed Date,Street Segment IDs
LONG LINE, RODEO DR /  LAMPLIGHT VILLAGE AVE,4/24/2018 11:05, RODEO DR (2005668)
LONG LINE,  HARTFORD RD from   N MOPAC EXPY SB  to   <br />ETHRIDGE AVE ,4/26/2018 12:51," HARTFORD RD (2021733)
 HARTFORD RD (2021732)
 HARTFORD RD (2021729)"
LONG LINE,  CONVICT HILL RD from   FLAMING OAK PL  to   <br />WOODCREEK RD ,4/26/2018 13:05, CONVICT HILL RD (2041706)
LONG LINE, BRUSHY ST /  N IH 35 NB,4/27/2018 11:53, BRUSHY ST (2019206)
LONG LINE,  ABILENE TRL from   CONVICT HILL RD  to   <br />BECKETT RD ,4/27/2018 12:01, CONVICT HILL RD (2024489)
LONG LINE,  W SLAUGHTER LN from   1ST ST  to   <br />UNITED KINGDOM DR ,4/30/2018 6:51," W SLAUGHTER LN (2027777)
 W SLAUGHTER LN (2027774)
 W SLAUGHTER LN (2027772)
 W SLAUGHTER LN (3260021)
 W SLAUGHTER LN (3260020)
 W SLAUGHTER LN (3260018)
 W SLAUGHTER LN (3260017)
 W SLAUGHTER LN (3259999)
 W SLAUGHTER LN (3259998)
 W SLAUGHTER LN (3259996)
 W SLAUGHTER LN (3259995)
 W SLAUGHTER LN (3259985)
 W SLAUGHTER LN (3259980)
 W SLAUGHTER LN (3259711)
 W SLAUGHTER LN (3259710)
 W SLAUGHTER LN (3259707)
 W SLAUGHTER LN (5375121)"
LONG LINE,  PARKER LN from   WOODWARD ST  to   <br />WICKSHIRE LN ,5/2/2018 14:11, PARKER LN (2041637)
LONG LINE,  AIRPORT BLVD from   MANOR RD  to   <br />E 38TH ST ,5/2/2018 14:37, AIRPORT BLVD (2040930)
LONG LINE,  AIRPORT BLVD from   W HIGHLAND MALL BLVD  to   <br />W KOENIG LN ,5/2/2018 15:02," AIRPORT BLVD (2012133)
 AIRPORT BLVD (5326143)
 AIRPORT BLVD (5323082)"
LONG LINE,  AIRPORT BLVD from   S IH 35 SB  to   <br />W 46TH ST ,5/3/2018 13:48," AIRPORT SB TO IH 35 UD SB RAMP (2043931)
 AIRPORT BLVD (2016433)
 N IH 35 SB TO AIRPORT NB RAMP (2016414)
 AIRPORT BLVD (2016406)
 AIRPORT BLVD (2016373)
 AIRPORT BLVD (2040723)"
LONG LINE,  BECKETT RD from   W SLAUGHTER LN  to   <br />DAVIS LN ,5/3/2018 14:52," BECKETT RD (2025162)
 BECKETT RD (2025041)
 BECKETT RD (2034540)"
LONG LINE,  PACK SADDLE PASS from   WESTERN TRAILS BLVD  to   <br />JONES RD ,5/3/2018 14:58," PACK SADDLE PASS (2024298)
 PACK SADDLE PASS (2024164)
 PACK SADDLE PASS (2024256)
 PACK SADDLE PASS (2024231)
 PACK SADDLE PASS (2024200)
 PACK SADDLE PASS (2024198)
 PACK SADDLE PASS (2024189)
 PACK SADDLE PASS (2024181)
 PACK SADDLE PASS (2024331)"
