,Work Group,Location Name,Completed Date,Street Segment IDs
654,LONG LINE, HART LN /  THORNCLIFFE DR,2020-10-06 15:15:00,   2013197
659,LONG LINE,"7106 GUADALUPE ST, AUSTIN, TX 78752",2020-10-12 15:18:00,"   2011792,   2011714,   2011747,   2011837"
660,LONG LINE, LA CRESADA DR /  DAVIS LN,2020-10-13 12:26:00,    2025013
661,LONG LINE,  WEST PARK DR from   PERRY LN  to   <br />VILLAGE DR ,2020-10-13 15:28:00,    2012255
663,LONG LINE,"BURNET RD & W 45TH ST, AUSTIN, TX",2020-10-14 13:35:00,  45  2015602
664,LONG LINE,"507 W 5TH ST, AUSTIN, TX 78701",2020-10-14 13:44:00,  5  2018720
665,LONG LINE,  ROLAND JOHNSON DR from   E HUNTLAND DR  to   <br />E ST JOHNS AVE ,2020-10-14 13:48:00,    2040368
666,LONG LINE,"JOHNNY MORRIS RD & LOYOLA LN, AUSTIN, TX",2020-10-16 14:28:00,    2016500
667,LONG LINE,  KENTISH DR from   WEST GATE BLVD  to   <br />CURLEW DR ,2020-10-19 15:17:00,"   2034711,   2026048,   2026047"
668,LONG LINE,<br />S 2ND ST ,2020-10-22 09:34:00,  2  2024168
669,LONG LINE,"4970 W US 290 HWY WB, AUSTIN, TX 78735",2020-11-02 12:36:00,   290    3309481
670,LONG LINE,  TERI RD from   S PLEASANT VALLEY RD  to   <br />E STASSNEY LN ,2020-11-02 15:02:00,"   2023334,   2023364,   2023370,   2023438,   2023454,   2023348,   2023325,   2023352,   2023354,   2023418,   2023356,   2023434,   2023344"
671,LONG LINE,"S IH 35 SVRD SB & E WILLIAM CANNON DR, AUSTIN, TX",2020-11-02 15:10:00,     2025610
672,LONG LINE,"STECK AVE & MESA DR, AUSTIN, TX",2020-11-02 15:14:00,   2013751
673,LONG LINE,  W ST ELMO RD from   S IH 35 SB  to   <br />LUCKSINGER LN ,2020-11-04 14:08:00,"     2024628,     2024583,     2024606,     2024626,     2036117"
674,LONG LINE,  W INDUSTRIAL BLVD from   W ST ELMO RD  to   <br />CONGRESS AVE ,2020-11-04 14:14:00,"   2026336,   2026338,   2026337"
675,LONG LINE,  TERRY O LN from   E BEN WHITE BLVD EB  to   <br />SHELBY LN ,2020-11-04 14:21:00,"    2024627,    2041678,    2024582,    2024669"
676,LONG LINE,  SHELBY LN from   TERRY O LN  to   <br />S IH 35 SB ,2020-11-04 14:28:00,"   2024697,   2024756"
677,LONG LINE,  COLONY PARK DR from   S IH 35 SB  to   <br />SHELBY LN ,2020-11-04 14:35:00,"    2047913,    2047912,    2024963,    2047914,    2024903"
678,LONG LINE, HANCOCK DR /  FAIRVIEW DR,2020-11-10 11:25:00,"   2013535,   2013530"
679,LONG LINE,  FARO DR from   CROSSING PL  to   <br />E RIVERSIDE DR ,2020-11-19 07:21:00,"   2022829,   2022853,   2041497,   2022863,   2022879"
680,LONG LINE,"106 S 1ST ST, AUSTIN, TX 78704",2020-11-30 09:02:00,  1  2042938
681,LONG LINE,"MENCHACA RD & KAISER DR, AUSTIN, TX",2020-11-30 10:08:00,   2047748
682,LONG LINE,  WEIDEMAR LN from   SHELBY LN  to   <br />COLONIAL PARK BLVD ,2020-12-05 08:41:00,"   2037022,   2024902"
683,LONG LINE, W 45TH ST /  BULL CREEK RD,2020-12-09 07:34:00,  45  2015287
684,LONG LINE,  BILBROOK PL from   SILCANTU DR  to   <br />SHADE TREE DR ,2020-12-14 12:35:00,"   2027986,   2027942,   2027953,   2027980,   2027957"
685,LONG LINE, RIDDLE RD /  OLD MANCHACA RD,2020-12-16 10:33:00,    3389289
686,LONG LINE,"WALSH TARLTON LN & SANDERLING TRL, AUSTIN, TX 78746",2020-12-28 14:21:00,"    3369529,    3369527"
687,LONG LINE,"W WELLS BRANCH PKWY & S HEATHERWILDE BLVD, AUSTIN, TX",2020-12-29 11:56:00,"     5425642,     5425631,     5425619,     5425629,     5578876,     2038889,     3390743,     5425633,     5425646,     5425644,     5425640"
693,LONG LINE,"2000 BARTON SPRINGS RD, AUSTIN, TX 78746",2021-01-04 11:14:00,"    2041193,    2041226,  2046726"
697,LONG LINE,"2200 MONTOPOLIS DR, AUSTIN, TX",2021-01-04 13:12:00,   2023054
701,LONG LINE,"E 38TH HALF ST & AIRPORT BLVD, AUSTIN, TX",2021-01-04 15:03:00,"   3257937,   2017340"
702,LONG LINE, HILLVIEW RD /  EXPOSITION BLVD,2021-01-05 14:21:00,"    2030312,   3377377"
703,LONG LINE,81008200 N LAMAR BLVD / 700 W POWELL LN,2021-01-05 15:05:00,"    2040117,    2011214,     2012546,     2012545"
704,LONG LINE,  GUADALUPE ST from   W DEAN KEETON ST  to   <br />W 26TH ST ,2021-01-19 06:56:00,"   2017247,     2017249"
